id,x,y,class,distance,vx,vy
129,2635.0,586.5,0,212.47646928542463,2689,792
130,3820.953416,587.2531055,5,0.2573566847514139,3821,587
131,4683.351064,586.93617,0,219.46138073975806,4651,804
132,3472.5,587.0,0,314.5015898211009,3787,588
133,3472.0,587.5,0,315.0003968251469,3787,588
134,4324.3533835,587.7794485,0,230.73049657958578,4298,817
135,4761.152866,588.732484,0,190.38867241730574,4828,767
136,3472.5,588.0,0,314.5,3787,588
137,4479.4464285,590.7857145,0,208.92623986632478,4513,797
138,2193.0,591.5,0,69.01630242196404,2124,590
139,3332.883721,591.7906975,0,400.87878672404497,3387,989
140,2658.062963,592.1814815,0,201.86480587976254,2693,791
141,3786.8076925,592.9153845,5,4.487365369278063,3789,589
142,3828.2772725,593.0136365,7,0.2776076248745491,3828,593
143,2115.9594595,593.716216,0,3.8591431550017368,2117,590
144,2282.1347825,594.8913045,0,158.21041146534563,2124,590
145,2739.793956,596.686813,0,154.61315755855614,2878,666
146,2857.740793,597.1529745,0,70.45563933757538,2880,664
147,3134.009124,597.337591,0,220.66704821275587,2926,671
148,2133.308989,598.3426965,0,12.50031443977451,2124,590
149,3813.7650275,597.726776,5,0.7638163587749146,3814,597
150,2181.5,599.8698225,0,58.340923854370935,2124,590
151,2199.25,600.75,0,76.01397897755386,2124,590
152,3791.8826085,602.747826,0,12.748366502832786,3792,590
153,3825.681269,602.339879,5,0.4659476204487985,3826,602
154,3803.624378,604.3606965,5,4.965808479190121,3806,600
155,4859.35,603.2785715,0,156.7218193203506,4859,760
156,4573.0495495,604.31982,0,201.2346937334248,4515,797
157,4767.01845,605.1420665,0,172.96456306796765,4828,767
158,4852.6603775,604.95283,0,155.1390875745098,4858,760
159,3746.8024055,607.733677,0,44.780181012661735,3787,588
160,3844.080858,608.130363,0,12.347703208610456,3834,601
161,4744.296154,607.65,0,179.9965453423809,4828,767
162,2167.268617,607.226064,0,46.57156319069394,2124,590
163,3126.3975695,606.998264,0,210.3535674751465,2927,674
164,3855.036036,608.5345345,0,22.344664256260018,3834,601
165,3142.578182,608.709091,0,225.24843029968378,2927,674
166,3815.6292775,608.513308,7,0.6118041147868104,3816,609
167,2299.5857145,609.65,0,176.68182033382922,2124,590
168,3887.504878,609.921951,5,0.5012359138018808,3888,610
169,3796.5106385,609.7659575,7,11.491745018468277,3808,610
170,4838.5532785,611.2540985,0,150.01172684209146,4858,760
171,4746.7767855,613.232143,0,173.90159406999535,4828,767
172,1839.410448,613.119403,0,185.9225981494371,1984,730
173,2299.8208955,614.3731345,7,177.50221683059908,2124,590
174,2484.642857,614.5,0,270.6807933620753,2689,792
175,1864.672414,614.672414,0,165.95036870454618,1984,730
176,5315.0,615.75,7,145.21901562811945,5404,501
177,2216.944853,615.727941,0,96.43999506061311,2124,590
178,2734.5,616.6,0,151.76498278588508,2878,666
179,3899.5253625,616.402174,5,0.6221130786940419,3900,616
180,3883.235849,619.0220125,5,0.2368740191690851,3883,619
181,3907.8088235,621.002941,5,0.19119912037779715,3908,621
182,4128.0,622.5,0,163.50305807537669,4127,786
183,2352.990196,622.647059,0,219.59304402341155,2172,747
184,3922.130841,623.6588785,7,9.137210802265969,3913,624
185,4940.3225805,624.783871,0,146.80136614460918,5002,758
